time_s,dt_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,distance_m,speed_m_s,true_anomaly_rad,specific_energy_J_kg,area_rate_m2_s,energy_drift_pct,angular_momentum_drift_pct,semi_major_axis_m_live,eccentricity_live,inclination_deg_live,raan_deg_live,arg_periapsis_deg_live,period_days_live
6000.0,600.0,-26681723508.12099,144660305917.58737,119262.8133540892,-29780.33645696441,-5514.854392712928,-0.00983332852897999,147100368717.63644,30286.665864557115,-0.04357749562738361,-443578644.0793202,2227589286949307.0,-3.0689114904711192e-06,-1.4846612974280797e-06,149597882564.73923,0.016710190209504924,5.0009568137756664e-05,348.7123350464656,114.23488813280436,365.2508708005606
6600.0,600.0,-26699591509.700966,144656995919.28394,119256.91130520415,-29779.66858603416,-5518.473244491977,-0.009840167561385907,147100355724.80472,30286.66845084235,-0.04345401116777326,-443578645.43909854,2227589283645817.8,-3.3754587971350616e-06,-1.6329601431941463e-06,149597882106.15097,0.0167101872332352,5.0009568137756664e-05,348.7096380026711,114.23758849021125,365.25086912106065
7200.0,600.0,-26717459110.42423,144653683749.694,119251.00515301553,-29779.000267934836,-5522.092014397904,-0.009847006207497795,147100342768.81946,30286.671029675188,-0.04333052671900833,-443578646.7985997,2227589280343006.0,-3.6819436207172744e-06,-1.78122857491603e-06,149597881647.6562,0.016710184257470638,5.00168555065586e-05,348.7069419498451,114.24028785586644,365.25086744190304
7800.0,600.0,-26735326310.022488,144650369408.86667,119245.09489775515,-29778.33150267673,-5525.710702373623,-0.009853844467265244,147100329849.68085,30286.673601055605,-0.04320704228113101,-443578648.15782326,2227589277040871.8,-3.988365853719984e-06,-1.9294665925937314e-06,149597881189.25504,0.01671018128221228,5.00168555065586e-05,348.70424688793116,114.24298622982573,365.25086576308826
8400.0,600.0,-26753193108.227444,144647052896.85117,119239.18053965482,-29777.66229027015,-5529.329308362052,-0.009860682340637852,147100316967.3891,30286.676164983553,-0.043083557854199296,-443578649.5167694,2227589273739415.5,-4.2947255498920764e-06,-2.077674173781461e-06,149597880730.94745,0.01671017830745975,5.0009568137756664e-05,348.70155281687283,114.24568361214611,365.2508640846162
9000.0,600.0,-26771059504.77081,144643734213.69666,119233.26207894638,-29776.992630725406,-5532.947832306112,-0.009867519827565226,147100304121.94446,30286.678721458997,-0.042960073438265585,-443578650.8754376,2227589270438637.5,-4.601022588298557e-06,-2.225851307256324e-06,149597880272.73358,0.01671017533321371,5.0009568137756664e-05,348.6988597366138,114.24838000288418,365.2508624064874
9600.0,600.0,-26788925499.38431,144640413359.45242,119227.33951586175,-29776.322524052815,-5536.566274148723,-0.009874356927996984,147100291313.34705,30286.68127048189,-0.042836589033377705,-443578652.2338284,2227589267138538.2,-4.90725708987442e-06,-2.3739979705725317e-06,149597879814.61328,0.016710172359473502,5.00168555065586e-05,348.6961676470974,114.25107540209653,365.25086072870124
10200.0,600.0,-26806791091.79967,144637090334.1677,119221.4128506328,-29775.65197026271,-5540.184633832808,-0.009881193641882753,147100278541.59705,30286.68381205219,-0.042713104639592527,-443578653.5919421,2227589263839116.2,-5.213429108368556e-06,-2.5221142310674514e-06,149597879356.58646,0.01671016938623871,5.00168555065586e-05,348.693476548267,114.25376980984048,365.2508590512574
10800.0,600.0,-26824656281.748627,144633765137.8918,119215.48208349149,-29774.980969365417,-5543.802911301289,-0.009888029969172171,147100265806.6947,30286.686346169867,-0.04258962025695335,-443578654.94977766,2227589260540372.5,-5.519538442222633e-06,-2.6702000438495047e-06,149597878898.6534,0.01671016641351078,5.00168555065586e-05,348.6907864400658,114.25646322617214,365.250857374157
11400.0,600.0,-26842521068.96291,144630437770.6741,119209.54721466979,-29774.309521371284,-5547.421106497091,-0.009894865909814884,147100253108.64014,30286.68887283488,-0.042466135885516516,-443578656.3073359,2227589257242307.0,-5.825585252683318e-06,-2.8182554089186917e-06,149597878440.8139,0.0167101634412889,5.00168555065586e-05,348.688097322437,114.25915565114907,365.2508556973993
12000.0,600.0,-26860385453.17427,144627108232.56396,119203.60824439971,-29773.63762629066,-5551.0392193631415,-0.009901701463760551,147100240447.43362,30286.69139204718,-0.04234265152533777,-443578657.66461635,2227589253944919.8,-6.131569432252832e-06,-2.9662803262750124e-06,149597877983.06808,0.016710160469573455,5.00168555065586e-05,348.68540919532376,114.26184708482833,365.2508540209846
12600.0,600.0,-26878249434.11446,144623776523.61084,119197.66517291329,-29772.9652841339,-5554.657249842367,-0.00990853663095884,147100227823.07532,30286.693903806736,-0.04221916717646837,-443578659.0216191,2227589250648211.5,-6.43749100780562e-06,-3.1142747622497834e-06,149597877525.41592,0.01671015749836429,5.0024141813758234e-05,348.6827220586689,114.26453752726727,365.2508523449129
13200.0,600.0,-26896113011.515232,144620442643.86414,119191.71800044258,-29772.292494911377,-5558.275197877696,-0.009915371411359427,147100215235.5654,30286.69640811351,-0.042095682838954394,-443578660.37834394,2227589247352181.5,-6.7433499390300175e-06,-3.262238750511688e-06,149597877067.85748,0.01671015452766203,5.0024141813758234e-05,348.6800359124155,114.26722697852264,365.2508506691845
13800.0,600.0,-26913976185.108353,144617106593.37338,119185.76672721967,-29771.619258633455,-5561.89306341206,-0.009922205804912,147100202684.90408,30286.698904967452,-0.041972198512857904,-443578661.7347911,2227589244056830.2,-7.049146266237688e-06,-3.4101722686149376e-06,149597876610.3927,0.016710151557466125,5.00168555065586e-05,348.67735075650637,114.26991543865257,365.250848993799
14400.0,600.0,-26931838954.62559,144613768372.18805,119179.81135347669,-29770.94557531052,-5565.510846388389,-0.009929039811566256,147100190171.0915,30286.701394368534,-0.04184871419821875,-443578663.0909607,2227589240762158.0,-7.3548800163030786e-06,-3.5580753053366367e-06,149597876153.02155,0.016710148587776648,5.0024141813758234e-05,348.67466659088416,114.27260290771378,365.25084731875654
15000.0,600.0,-26949701319.798725,144610427980.3577,119173.85187944579,-29770.27144495296,-5569.128546749617,-0.009935873431271903,147100177694.1279,30286.70387631671,-0.04172522989509661,-443578664.44685215,2227589237468163.8,-7.660551068291188e-06,-3.7059479055683646e-06,149597875695.74417,0.01671014561859424,5.0024141813758234e-05,348.6719834154915,114.27528938576408,365.2508456440575
15600.0,600.0,-26967563280.359535,144607085417.93195,119167.88830535917,-29769.59686757117,-5572.746164438679,-0.009942706663978658,147100165254.0135,30286.706350811946,-0.04160174560354219,-443578665.80246556,2227589234174849.2,-7.966159435639243e-06,-3.8537899907498585e-06,149597875238.56058,0.016710142649918845,5.0024141813758234e-05,348.6693012302712,114.27797487286112,365.2508439697019
16200.0,600.0,-26985424836.039814,144603740684.9604,119161.92063144903,-29768.921843175554,-5576.36369939851,-0.009949539509636248,147100152850.7484,30286.708817854204,-0.041478261323608406,-443578667.15780103,2227589230882213.8,-8.271705145221684e-06,-4.001601594549804e-06,149597874781.47073,0.016710139681750422,5.0024141813758234e-05,348.6666200351654,114.28065936906263,365.25084229568967
16800.0,600.0,-27003285986.571346,144600393781.49268,119155.9488579476,-29768.246371776528,-5579.981151572048,-0.009956371968194412,147100140484.33282,30286.711277443443,-0.04135477705534254,-443578668.5128586,2227589227590257.0,-8.577188210475733e-06,-4.149382728191092e-06,149597874324.4746,0.016710136714089035,5.0031427059819395e-05,348.6639398301168,114.28334287442625,365.2508406220207
17400.0,600.0,-27021146731.685944,144597044707.5785,119149.97298508718,-29767.57045338451,-5583.59852090223,-0.009963204039602897,147100128154.7669,30286.713729579627,-0.04123129279879921,-443578669.86763847,2227589224298979.2,-8.882608658275835e-06,-4.297133380450831e-06,149597873867.57214,0.0167101337469345,5.0031427059819395e-05,348.66126061506753,114.28602538900999,365.2508389486946
18000.0,600.0,-27039007071.115406,144593693463.26758,119143.99301310007,-29766.89408800992,-5587.215807331997,-0.009970035723811459,147100115862.05093,30286.716174262707,-0.04110780855403526,-443578671.2221401,2227589221008381.0,-9.187966381124214e-06,-4.444853528883231e-06,149597873410.76352,0.016710130780287158,5.0031427059819395e-05,348.65858238995986,114.28870691287196,365.25083727571234
18600.0,600.0,-27056867004.591553,144590340048.60968,119138.0089422186,-29766.217275663206,-5590.83301080429,-0.009976867020769867,147100103606.18503,30286.718611492663,-0.04098432432109059,-443578672.5763636,2227589217718461.8,-9.493261419332537e-06,-4.592543195934082e-06,149597872954.04868,0.01671012781414732,5.0031427059819395e-05,348.655905154736,114.29138744606956,365.2508356030734
19200.0,600.0,-27074726531.846203,144586984463.6546,119132.02077267514,-29765.5400163548,-5594.450131262051,-0.009983697930427898,147100091387.16934,30286.721041269444,-0.04086084010003006,-443578673.9303093,2227589214429221.8,-9.798493813212469e-06,-4.740202370380488e-06,149597872497.42755,0.01671012484851454,5.0031427059819395e-05,348.6532289093379,114.29406698866177,365.25083393077773
19800.0,600.0,-27092585652.61118,144583626708.45215,119126.02850470207,-29764.862310095155,-5598.067168648226,-0.009990528452735337,147100079205.0041,30286.72346359301,-0.0407373558908947,-443578675.283977,2227589211140661.0,-1.0103663535889565e-05,-4.887831052222449e-06,149597872040.9002,0.016710121883388853,5.0031427059819395e-05,348.6505536537076,114.29674554070617,365.25083225882565
20400.0,600.0,-27110444366.618317,144580266783.05222,119120.03213853184,-29764.18415689473,-5601.684122905757,-0.009997358587641985,147100067059.68954,30286.725878463334,-0.04061387169374806,-443578676.637366,2227589207852780.2,-1.0408770439554384e-05,-5.035429207791283e-06,149597871584.4668,0.016710118918771392,5.0031427059819395e-05,348.64787938778693,114.29942310226147,365.2508305872175
21000.0,600.0,-27128302673.599453,144576904687.50467,119114.0316743969,-29763.505556763994,-5605.300993977594,-0.010004188335097648,147100054951.22577,30286.728285880366,-0.04049038750863189,-443578677.9904772,2227589204565579.0,-1.0713814712328036e-05,-5.182996859532778e-06,149597871128.1271,0.016710115954660862,5.0038711245205565e-05,348.6452061115177,114.30209967338584,365.25082891595247
21600.0,600.0,-27146160573.28643,144573540421.85947,119108.02711252973,-29762.826509713417,-5608.917781806684,-0.010011017695052143,147100042879.61298,30286.730685844086,-0.040366903335604706,-443578679.34330994,2227589201279058.2,-1.1018796206401076e-05,-5.330533962555355e-06,149597870671.88135,0.016710112991058637,5.0038711245205565e-05,348.6425338248418,114.30477525413781,365.2508272450316
22200.0,600.0,-27164018065.411106,144570173986.1665,119102.01845316285,-29762.147015753482,-5612.534486335976,-0.010017846667455296,147100030844.85132,30286.73307835444,-0.04024341917471266,-443578680.69586474,2227589197993215.5,-1.1323715042708505e-05,-5.478040629087961e-06,149597870215.7293,0.016710110027963566,5.0031427059819395e-05,348.6398625277006,114.3074498445759,365.2508255744539
22800.0,600.0,-27181875149.705338,144566805380.47583,119096.0056965288,-29761.467074894677,-5616.151107508422,-0.010024675252256946,147100018846.94104,30286.735463411398,-0.040119935026006366,-443578682.0481411,2227589194708053.2,-1.1628571113752545e-05,-5.625516746901649e-06,149597869759.67117,0.01671010706537661,5.0031427059819395e-05,348.6371922200358,114.31012344475846,365.25082390422017
23400.0,600.0,-27199731825.90098,144563434604.83746,119089.98884286014,-29760.7866871475,-5619.767645266973,-0.010031503449406941,147100006885.88226,30286.737841014925,-0.03999645088954559,-443578683.4001391,2227589191423571.2,-1.1933364419533198e-05,-5.772962327219315e-06,149597869303.70694,0.016710104103297794,5.0038711245205565e-05,348.6345229017888,114.31279605474471,365.25082223433026
24000.0,600.0,-27217588093.72991,144560061659.30148,119083.96789238951,-29760.105852522458,-5623.384099554583,-0.010038331258855138,147099994961.67523,30286.74021116498,-0.03987296676537865,-443578684.75185865,2227589188139769.2,-1.2238094960050459e-05,-5.920377381263853e-06,149597868847.83658,0.016710101141726885,5.0038711245205565e-05,348.631854572901,114.3154676745933,365.2508205647842
24600.0,600.0,-27235443952.924007,144556686543.91797,119077.94284534952,-29759.424571030057,-5627.0004703142085,-0.010045158680551404,147099983074.32007,30286.74257386152,-0.03974948265355623,-443578686.10330003,2227589184856646.8,-1.2542762789053222e-05,-6.0677619314810535e-06,149597868392.06006,0.016710098180663775,5.0038711245205565e-05,348.62918723331364,114.31813830436309,365.2508188955818
25200.0,600.0,-27253299403.21515,144553309258.7371,119071.91370197284,-29758.742842680822,-5630.616757488805,-0.010051985714445615,147099971223.81696,30286.74492910452,-0.03962599855413302,-443578687.4544629,2227589181574205.2,-1.2847367825918154e-05,-6.215115910533546e-06,149597867936.3775,0.01671009522010901,5.0038711245205565e-05,348.626520882968,114.32080794411313,365.2508172267235
25800.0,600.0,-27271154444.335224,144549929803.809,119065.88046249218,-29758.06066748528,-5634.23296102133,-0.010058812360487659,147099959410.1661,30286.747276893937,-0.03950251446715729,-443578688.8053472,2227589178292443.8,-1.3151910070645252e-05,-6.362439363312911e-06,149597867480.78885,0.016710092260062592,5.004599437037989e-05,348.6238555218052,114.32347659390233,365.2508155582092
26400.0,600.0,-27289009076.01613,144546548179.18387,119059.84312714025,-29757.378045453963,-5637.849080854743,-0.010065638618627434,147099947633.36765,30286.749617229732,-0.03937903039268315,-443578690.15595347,2227589175011362.0,-1.3456389630732293e-05,-6.509732301042042e-06,149597867025.29398,0.016710089300523884,5.0038711245205565e-05,348.62119114976616,114.32614425379003,365.2508138900382
27000.0,600.0,-27306863297.989765,144543164384.91196,119053.80169614982,-29756.694976597417,-5641.465116932005,-0.010072464488814848,147099935893.4218,30286.751950111873,-0.03925554633076408,-443578691.5062808,2227589171730961.0,-1.376080630462095e-05,-6.656994678829362e-06,149597866569.8932,0.016710086341494075,5.004599437037989e-05,348.618527766792,114.32881092383543,365.2508122222119
27600.0,600.0,-27324717109.988045,144539778421.04355,119047.75616975367,-29756.011460926195,-5645.081069196078,-0.010079289970999815,147099924190.32874,30286.754275540326,-0.039132062281449075,-443578692.85632974,2227589168451241.0,-1.4065160226683441e-05,-6.804226485451976e-06,149597866114.58627,0.016710083382972637,5.004599437037989e-05,348.61586537282346,114.33147660409776,365.25081055472936
28200.0,600.0,-27342570511.742878,144536390287.62894,119041.70654818461,-29755.327498450853,-5648.696937589924,-0.010086115065132266,147099912524.08862,30286.756593515052,-0.03900857824478865,-443578694.20609975,2227589165172201.2,-1.4369451262547546e-05,-6.951427754578567e-06,149597865659.37344,0.016710080424960222,5.004599437037989e-05,348.6132039678014,114.33414129463624,365.2508088875914
28800.0,600.0,-27360423502.986183,144532999984.71844,119035.6528316755,-29754.64308918196,-5652.31272205651,-0.010092939771162136,147099900894.7016,30286.758904036014,-0.03888509422083931,-443578695.55559146,2227589161893841.8,-1.4673679560022708e-05,-7.098598486209136e-06,149597865204.2545,0.016710077467456036,5.004599437037989e-05,348.61054355166647,114.33680499551083,365.2508072207972
29400.0,600.0,-27378276083.449894,144529607512.36246,119029.59502045922,-29753.958233130084,-5655.928422538801,-0.010099764089039374,147099889302.16788,30286.761207103176,-0.03876161020964819,-443578696.9048045,2227589158616163.2,-1.4977845038485593e-05,-7.245738646674999e-06,149597864749.2295,0.016710074510460585,5.004599437037989e-05,348.6078841243593,114.33946770678071,365.2508055543472
30000.0,600.0,-27396128252.86594,144526212870.6114,119023.53311476867,-29753.27293030581,-5659.544038979765,-0.010106588018713935,147099877746.48764,30286.763502716498,-0.038638126211269906,-443578698.25373894,2227589155339165.8,-1.52819476979362e-05,-7.392848235976155e-06,149597864294.29846,0.016710071553973735,5.004599437037989e-05,348.60522568582047,114.34212942850569,365.25080388824125
30600.0,600.0,-27413980010.96626,144522816059.51566,119017.46711483678,-29752.587180719733,-5663.1595713223705,-0.010113411560135788,147099866227.66098,30286.76579087595,-0.03851464222575414,-443578699.60239494,2227589152062848.5,-1.5585987592123424e-05,-7.53992728778129e-06,149597863839.46133,0.01671006859799545,5.004599437037989e-05,348.60256823599025,114.34479016074553,365.25080222247925
31200.0,600.0,-27431831357.482803,144519417079.12576,119011.39702089652,-29751.900984382442,-5666.775019509589,-0.010120234713254909,147099854745.68814,30286.7680715815,-0.03839115825315194,-443578700.9507719,2227589148787211.8,-1.5889964586675037e-05,-7.686975790867506e-06,149597863384.71832,0.016710065642526636,5.004599437037989e-05,348.59991177480924,114.34744990355979,365.2508005570619
31800.0,600.0,-27449682292.14752,144516015929.49222,119005.32283318088,-29751.21434130455,-5670.39038348439,-0.010127057478021286,147099843300.56934,30286.770344833105,-0.03826767429351963,-443578702.29887,2227589145512257.0,-1.6193878708465486e-05,-7.833993677897438e-06,149597862930.06937,0.016710062687566866,5.005327643580517e-05,348.5972563022175,114.35010865700873,365.25079889198906
32400.0,600.0,-27467532814.692368,144512612610.66556,118999.2445519229,-29750.52725149666,-5674.00566318975,-0.010133879854384917,147099831892.30463,30286.772610630735,-0.0381441903469091,-443578703.6466895,2227589142237983.0,-1.6497730011243666e-05,-7.98098100498556e-06,149597862475.51437,0.016710059733116112,5.005327643580517e-05,348.59460181815535,114.35276642115237,365.25079722726036
33000.0,600.0,-27485382924.849316,144509207122.69638,118993.16217735563,-29749.8397149694,-5677.620858568641,-0.010140701842295808,147099820520.89432,30286.774868974346,-0.03802070641336576,-443578704.99423,2227589138964390.8,-1.6801518427823454e-05,-8.127937727240291e-06,149597862021.0535,0.016710056779174465,5.005327643580517e-05,348.59194832256287,114.35542319605038,365.25079556287625
33600.0,600.0,-27503232622.350334,144505799465.63528,118987.07570971215,-29749.151731733396,-5681.235969564041,-0.010147523441703976,147099809186.33847,30286.777119863913,-0.03789722249295054,-443578706.34149146,2227589135691479.2,-1.710524394476764e-05,-8.274863889553212e-06,149597861566.68668,0.016710053825742407,5.005327643580517e-05,348.5892958153801,114.35807898176344,365.25079389883666
34200.0,600.0,-27521081906.9274,144502389639.53293,118980.98514922558,-29748.463301799286,-5684.850996118926,-0.010154344652559448,147099797888.6373,30286.7793632994,-0.03777373858571244,-443578707.688474,2227589132419249.8,-1.7408906575513438e-05,-8.421759435809846e-06,149597861112.41397,0.016710050872819897,5.005327643580517e-05,348.586644296547,114.36073377835166,365.25079223514183
34800.0,600.0,-27538930778.312492,144498977644.43997,118974.89049612907,-29747.774425177708,-5688.465938176275,-0.010161165474812264,147099786627.79092,30286.781599280766,-0.03765025469169536,-443578709.0351779,2227589129147701.0,-1.771250638724696e-05,-8.56862442212467e-06,149597860658.23523,0.016710047920406347,5.005327643580517e-05,348.58399376600335,114.363387585875,365.250790571791
35400.0,600.0,-27556779236.23761,144495563480.40714,118968.7917506558,-29747.08510187932,-5692.080795679069,-0.010167985908412468,147099775403.7996,30286.78382780798,-0.037526770810962215,-443578710.3816025,2227589125876834.2,-1.8016043245595986e-05,-8.71545879238321e-06,149597860204.15067,0.016710044968502633,5.006055744194389e-05,348.58134422368886,114.36604040439434,365.2507889087852
36000.0,600.0,-27574627280.434746,144492147147.48517,118962.68891303898,-29746.395331914773,-5695.695568570289,-0.010174805953310119,147099764216.66342,30286.786048881007,-0.037403286943557594,-443578711.7277482,2227589122606648.8,-1.831951721774663e-05,-8.862262580254148e-06,149597859750.16016,0.016710042017108566,5.005327643580517e-05,348.57869566954344,114.36869223396988,365.25078724612376
36600.0,600.0,-27592474910.635906,144488728645.72485,118956.58198351183,-29745.705115294742,-5699.310256792918,-0.010181625609455283,147099753066.38254,30286.788262499813,-0.037279803089533936,-443578713.07361513,2227589119337144.5,-1.8622928344010554e-05,-9.009035785737486e-06,149597859296.2637,0.016710039066223804,5.005327643580517e-05,348.5760481035065,114.37134307466228,365.2507855838069
37200.0,600.0,-27610322126.573097,144485307975.177,118950.47096230763,-29745.014452029896,-5702.9248602899415,-0.010188444876798038,147099741952.95718,30286.790468664356,-0.03715631924894853,-443578714.419203,2227589116068322.5,-1.892627655720165e-05,-9.155778363941646e-06,149597858842.46136,0.016710036115848554,5.006055744194389e-05,348.5734015255176,114.37399292653248,365.25078392183457
37800.0,600.0,-27628168927.97834,144481885135.8925,118944.35584965968,-29744.32334213092,-5706.5393790043445,-0.010195263755288472,147099730876.38748,30286.792667374615,-0.037032835421848175,-443578715.76451164,2227589112800181.8,-1.9229561830445474e-05,-9.302490359758205e-06,149597858388.75317,0.016710033165983535,5.006055744194389e-05,348.57075593551633,114.3766417896409,365.25078226020713
38400.0,600.0,-27646015314.583656,144478460127.92218,118938.2366458013,-29743.631785608504,-5710.153812879114,-0.01020208224487668,147099719836.6736,30286.79485863055,-0.036909351608277755,-443578717.10954106,2227589109532723.2,-1.95327841503048e-05,-9.449171728295586e-06,149597857935.13916,0.016710030216628535,5.006055744194389e-05,348.56811133344183,114.37928966404796,365.25078059892456
39000.0,600.0,-27663861286.12107,144475032951.31702,118932.11335096584,-29742.939782473342,-5713.768161857241,-0.01020890034551277,147099708833.81573,30286.79704243212,-0.036785867808308434,-443578718.45429164,2227589106265946.2,-1.9835943610840187e-05,-9.595822503222471e-06,149597857481.6192,0.016710027267782947,5.006055744194389e-05,348.5654677192335,114.3819365498158,365.2507789379865
39600.0,600.0,-27681706842.322624,144471603606.12793,118925.98596538669,-29742.247332736144,-5717.382425881712,-0.010215718057146859,147099697867.814,30286.799218779302,-0.03666238402197387,-443578719.7987631,2227589102999851.8,-2.0139040144865522e-05,-9.742442639647281e-06,149597857028.19336,0.016710024319447476,5.006055744194389e-05,348.5628250928304,114.38458244700433,365.2507772773931
40200.0,600.0,-27699551982.920357,144468172092.40594,118919.85448929726,-29741.55443640762,-5720.996604895522,-0.010222535379729076,147099686938.66864,30286.801387672058,-0.03653890024933475,-443578721.1429549,2227589099734439.0,-2.044207363144581e-05,-9.889032171238704e-06,149597856574.86185,0.016710021371622696,5.006055744194389e-05,348.5601834541718,114.38722735567502,365.2507756171452
